command_lead_way,đưa tôi đến khu vực một,a,1
command_lead_way,đưa tôi đến khu vực hai,a,2
command_lead_way,đưa tôi đến khu vực ba,a,3
command_lead_way,đưa tôi đến khu vực bốn,a,4
command_lead_way,đưa tôi đến khu vực năm,a,5
command_lead_way,đưa tôi đến khu vực sáu,a,6
command_lead_way,đưa tôi đến khu vực bảy,a,7
command_lead_way,đưa tôi đến khu vực tám,a,8
command_lead_way,đưa tôi đến khu vực chín,a,9
command_lead_way,đưa tôi đến khu vực mười,a,10
command_lead_way,đưa tôi đến khu vực mười một,a,11
command_lead_way,đưa tôi đến khu vực mười hai,a,12
command_lead_way,đưa tôi đến khu vực mười ba,a,13
