ask_who,ai cho mình cái này
ask_who,ai đang đứng cho bạn kia
ask_who,ai đang đứng trong anh kia
ask_who,ai đang đứng trong ảnh kia
ask_who,ai đánh đức trong anh
ask_who,ngày kia là
ask_who,người chết là ai
ask_who,người kia là ai
ask_who,nhân vật đáng đứng trong
ask_who,nhân vật nào đang đứng trong ảnh
ask_who,nhân vật nào đáng đứng trong anh
ask_who,nhưng trong ảnh
ask_who,người chồng anh kia là ai
ask_who,người tên anh là ai
ask_who,người tiếng anh là ai
ask_who,người trên ảnh là ai
ask_who,người trong ảnh kia là ai
ask_who,người trong ảnh kia là a
ask_who,ai là người đông anh
ask_who,ai là người đóng băng
ask_who,ai là người trong ảnh
ask_who,ai là người trong ảnh kia
ask_who,ai là người trong các thế kỉ
ask_who,ai là nhân vật chính trong bức tranh
ask_who,ai là nhân vật chính trong bức tranh này
ask_who,đây là
ask_who,đây là ai
ask_who,đây này
ask_who,kia là ai
ask_who,gia lai
